,Strain,Background,Plasmid 1,Plasmid 2
1,BS3804,BS2548,pBS1506,pBS1984
2,BS3864,BS2548,pBS1980_1,pBS1984
3,BS3865,BS2548,pBS1980_2,pBS1984
4,BS3866,BS2548,pBS1980_3,pBS1984
5,BS3867,BS2548,pBS1980_4,pBS1984
6,BS3868,BS2548,pBS1980_5,pBS1984
7,BS3869,BS2548,pBS1980_6,pBS1984
8,BS3870,BS2548,pBS1980_7,pBS1984
9,BS3871,BS2548,pBS1980_8,pBS1984
10,BS3706,BS2548,pBS1506,pBS1904
11,BS3802,BS2548,pBS1506,pBS1982
12,BS3803,BS2548,pBS1506,pBS1983
13,BS3707,BS2548,pBS1506,pBS1973
14,BS3805,BS2548,pBS1506,pBS1985
15,BS4191,BS2548,pBS2108,pBS1984
16,BS4189,BS2548,pBS2092,na
17,BS3872,BS2548,pBS1506,pBS1997
19,BS3705,BS2548,pBS1506,pBS1904
20,BS3708,BS2548,pBS1506,BS1974
21,BS3709,BS2548,pBS1506,pBS1977
22,BS3055,BS2548,pBS1506,pBS1190
23,BS3710,BS2548,pBS1506,pBS1978
24,LA02_16,BS2548,pBS1502,pBS1516
25,LA02_17,BS2548,pBS1502,pBS1517
26,LA03_16,BS2548,pBS1503,pBS1516
27,LA03_17,BS2548,pBS1503,pBS1517
28,LA05_16,BS2548,pBS1505,pBS1516
29,LA05_17,BS2548,pBS1505,pBS1517
30,LA06_16,BS2548,pBS1506,pBS1516
31,LA06_17,BS2548,pBS1506,pBS1517
32,LA06_14,BS2548,pBS1506,pBS1514
33,LA06_15,BS2548,pBS1506,pBS1515
34,LA06_16,BS2548,pBS1506,pBS1516
35,LA06_17,BS2548,pBS1506,pBS1517
36,LA06_09,BS2548,pBS1506,pBS1509
37,LA06_10,BS2548,pBS1506,pBS1510
38,LA06_11,BS2548,pBS1506,pBS1511
39,LA06_12,BS2548,pBS1506,pBS1512
40,LA92_17,BS2467,pBS1492,pBS1517
41,LA92_90,BS2467,pBS1492,pBS1190
42,LA06_17,BS2548,pBS1506,pBS1517
43,LA06_90,BS2548,pBS1506,pBS1190
